key,Etot,total_spin_moment
1D-000,-1233.825183,2.8
1D-001,-1231.270667,-0.0
1D-002,-1231.105841,0.79789
1D-003,-1231.658856,2.8
1D-004,-1231.468956,2.8
1D-005,-1231.674122,2.8
1D-006,-1230.77602,0.0
1D-007,-1230.424191,0.68557
1D-008,-1230.291793,2.78655
1D-009,-1229.790626,-0.0
1D-010,-1229.820201,1.2
1D-011,-1229.441207,2.66651
1D-012,-1229.808782,2.79868
1D-013,-1229.772833,-0.0
1D-014,-1229.857324,-0.0
1D-015,-1229.281837,1.6
1D-016,-1230.170829,0.0
1D-017,-1230.187366,-0.0
1D-018,-1230.223345,0.0
1D-019,-1230.023367,-0.0
1D-020,-1230.039155,-0.0
1D-021,-1230.028674,-0.0
1D-022,-1230.1264,0.0
1D-023,-1229.985044,0.0
1D-024,-1230.35863,0.0
1D-025,-1228.692405,1.99994
1D-026,-1228.245305,0.39998
1D-027,-1228.21989,1.18589
1D-028,-1228.259079,0.0
1D-029,-1228.008117,2.0
1D-030,-1227.71736,0.0
1D-031,-1226.658574,1.3163
1D-032,-1226.593556,-0.0
1D-033,-1226.47024,0.99973
1D-034,-1226.535921,0.99915
1D-035,-1226.533327,0.9997
1D-036,-1226.503136,0.99995
1D-037,-1226.002071,6e-05
1D-038,-1226.75073,0.99927
1D-039,-1226.824923,0.0
1D-040,-1226.460474,1.19999
1D-041,-1225.054139,-0.0
1D-042,-1225.039363,-0.0
1D-043,-1226.200943,-0.0
1D-044,-1225.631811,2.0
1D-045,-1226.139894,-0.0
1D-046,-1224.965249,-0.0
1D-047,-1224.05285,0.0
1D-048,-1223.111129,-0.0
2D-000,-1239.827411,0.0
2D-001,-1239.826939,0.0
2D-002,-1239.810526,0.0
2D-003,-1239.753694,-0.0
2D-004,-1239.457847,0.43055
2D-005,-1237.828135,-3e-05
2D-006,-1236.784899,-0.0
2D-007,-1237.540279,0.0
2D-008,-1237.54065,0.0
2D-009,-1237.540189,-0.0
2D-010,-1237.538878,0.0
2D-011,-1237.539693,-0.0
2D-012,-1237.361646,0.0
2D-013,-1236.707655,0.0
2D-014,-1237.359553,0.0
2D-015,-1237.512998,-0.0
2D-016,-1237.409664,0.0
2D-017,-1237.239826,0.0
2D-018,-1237.246523,0.0
2D-019,-1236.325795,1.92
2D-020,-1236.230508,1.92
2D-021,-1236.259843,1.92
2D-022,-1236.154534,1.92
2D-023,-1235.712493,-0.0
2D-024,-1235.52665,0.0
2D-025,-1234.891329,1.99998
2D-026,-1234.977531,-0.0
2D-027,-1235.012292,0.19625
2D-028,-1234.402744,0.7187
2D-029,-1234.372189,2.0
2D-030,-1233.980668,0.66666
2D-031,-1234.000606,2.79989
2D-032,-1235.0879,-0.0
2D-033,-1235.088275,-0.0
2D-034,-1234.039286,-0.0
2D-035,-1233.859113,-0.0
2D-036,-1233.829545,0.0
2D-037,-1233.536356,0.39997
2D-038,-1233.668555,0.0
2D-039,-1233.463375,0.37175
2D-040,-1233.286265,0.66666
2D-041,-1233.127381,-0.0
2D-042,-1232.931779,0.0
2D-043,-1232.79765,0.0
2D-044,-1232.836521,0.22036
2D-045,-1232.484461,-0.0
2D-046,-1232.47842,0.0
2D-047,-1232.490788,0.0
2D-048,-1232.390242,-0.0
2D-049,-1232.239113,-0.0
2D-050,-1232.59141,-0.0
2D-051,-1232.059556,0.0
2D-052,-1232.110369,0.0
2D-053,-1231.980223,0.66645
2D-054,-1231.844035,0.23498
2D-055,-1231.82257,-0.00165
2D-056,-1231.797618,0.0
2D-057,-1231.769378,0.0
2D-058,-1231.579552,0.0
2D-059,-1231.300349,0.66667
2D-060,-1231.541828,-0.0
2D-061,-1231.42061,0.64024
2D-062,-1231.652268,0.66632
2D-063,-1232.337151,0.39998
2D-064,-1231.326205,0.6639
2D-065,-1231.418647,-0.0
2D-066,-1231.248156,0.0
2D-067,-1231.151178,0.0
2D-068,-1230.948502,1.33128
2D-069,-1231.135979,0.66667
2D-070,-1230.906888,-0.0
2D-071,-1230.999464,0.61265
2D-072,-1230.855125,1.21126
2D-073,-1230.888031,-0.0
2D-074,-1231.08562,0.00094
2D-075,-1230.617655,-0.0
2D-076,-1230.456155,0.0
2D-077,-1230.126164,0.00033
2D-078,-1230.125392,-0.00014
2D-079,-1230.507952,0.33334
2D-080,-1230.175458,2e-05
2D-081,-1230.478581,4e-05
2D-082,-1230.581375,1.33025
2D-083,-1230.445957,0.0
2D-084,-1230.245183,-0.0
2D-085,-1229.950584,-0.0
2D-086,-1230.217915,-0.0
2D-087,-1230.16132,-0.0
2D-088,-1229.969464,1.30322
2D-089,-1229.972825,1.30472
2D-090,-1230.09221,1.13998
2D-091,-1229.893159,-0.0
2D-092,-1229.601868,0.99826
2D-093,-1229.834573,1.32764
2D-094,-1229.601748,1.32652
2D-095,-1229.496847,2.21778
2D-096,-1229.695592,2.01094
2D-097,-1229.648571,0.0
2D-098,-1229.631827,-0.0
2D-099,-1229.42867,-0.0
2D-100,-1229.328313,-0.0
2D-101,-1229.285623,8e-05
2D-102,-1229.275361,-0.0
2D-103,-1229.178193,0.32154
2D-104,-1229.209634,-0.0
2D-105,-1229.245648,-0.0
2D-106,-1229.104435,-0.0
2D-107,-1229.328344,1.0
2D-108,-1228.941811,0.0
2D-109,-1228.832733,1.99998
2D-110,-1228.886301,-0.03922
2D-111,-1228.877042,0.0
2D-112,-1228.818703,-0.0
2D-113,-1228.158885,-0.0
2D-114,-1228.035752,0.0
2D-115,-1227.899627,0.0
2D-116,-1227.56037,0.00029
2D-117,-1227.497873,2.0
2D-118,-1226.907495,2e-05
2D-119,-1226.26364,0.0
2D-120,-1225.285957,0.10013
2D-121,-1225.020964,0.0
3D-000,-1239.898656,0.0
3D-001,-1240.071304,0.0
3D-002,-1239.814249,-0.0
3D-003,-1239.862132,0.0
3D-004,-1239.038106,0.0
3D-005,-1238.635914,0.0
3D-006,-1238.742013,-0.0
3D-007,-1238.5438,-0.0
3D-008,-1238.460695,-0.0
3D-009,-1238.464664,-0.0
3D-010,-1238.357008,-0.0
3D-011,-1238.140093,0.19269
3D-012,-1238.081262,-0.0
3D-013,-1238.230776,-0.0
3D-014,-1237.892544,0.0017
3D-015,-1237.878741,-0.0
3D-016,-1237.826895,-0.0
3D-017,-1237.804461,-3e-05
3D-018,-1237.795831,0.0
3D-019,-1237.813186,0.0
3D-020,-1237.764794,-0.0
3D-021,-1237.641296,-0.0
3D-022,-1237.557958,0.00014
3D-023,-1237.614494,0.0
3D-024,-1237.547916,0.0
3D-025,-1237.546048,0.0
3D-026,-1237.498233,-0.0
3D-027,-1237.477115,7e-05
3D-028,-1237.313568,0.0
3D-029,-1237.223963,0.0
3D-030,-1237.314378,-0.0
3D-031,-1237.290995,-0.0
3D-032,-1237.688536,0.0
3D-033,-1237.110584,-0.0
3D-034,-1237.030773,0.00086
3D-035,-1237.051908,-4e-05
3D-036,-1237.61426,0.0
3D-037,-1237.053828,0.0
3D-038,-1237.621516,-0.0
3D-039,-1237.616271,0.0
3D-040,-1237.616083,0.0
3D-041,-1237.457014,-0.0
3D-042,-1237.069384,-0.0
3D-043,-1236.833701,0.21975
3D-044,-1237.018513,0.0596
3D-045,-1237.571877,0.0
3D-046,-1237.576205,0.0
3D-047,-1237.638566,-0.0
3D-048,-1237.642176,-0.0
3D-049,-1236.890388,0.0
3D-050,-1236.743965,0.11802
3D-051,-1236.748341,0.0
3D-052,-1236.738771,-0.0
3D-053,-1236.735835,0.00015
3D-054,-1236.601134,0.20906
3D-055,-1236.58446,3e-05
3D-056,-1236.623995,-0.0
3D-057,-1236.630377,0.0
3D-058,-1236.590926,-0.0
3D-059,-1236.570643,0.0
3D-060,-1236.476183,0.0
3D-061,-1236.387849,-0.00081
3D-062,-1236.494387,-0.0
3D-063,-1236.388378,0.0
3D-064,-1236.366776,-0.0
3D-065,-1236.280269,0.00305
3D-066,-1236.314179,0.00105
3D-067,-1236.166284,-0.0
3D-068,-1236.418371,0.11044
3D-069,-1236.199413,-0.0
3D-070,-1236.201961,0.0
3D-071,-1236.178377,0.0
3D-072,-1236.172924,0.0
3D-073,-1236.108494,0.0
3D-074,-1236.066988,-0.0
3D-075,-1235.984971,-1e-05
3D-076,-1235.719358,-0.0003
3D-077,-1235.883098,0.12295
3D-078,-1235.954483,1.86424
3D-079,-1235.914698,0.0
3D-080,-1235.902679,0.12331
3D-081,-1235.926684,0.0
3D-082,-1235.667544,0.00039
3D-083,-1235.646973,-0.00157
3D-084,-1235.85129,-0.0
3D-085,-1235.83833,-0.0
3D-086,-1235.870307,0.0
3D-087,-1235.784354,0.0
3D-088,-1235.837076,0.0
3D-089,-1235.678787,0.0
3D-090,-1235.681238,-0.0
3D-091,-1235.612482,0.0
3D-092,-1235.708727,0.00024
3D-093,-1235.739886,-0.00016
3D-094,-1235.630995,1e-05
3D-095,-1235.567172,0.00048
3D-096,-1235.603849,0.0
3D-097,-1235.506129,-0.00022
3D-098,-1235.465834,0.0
3D-099,-1235.419135,-0.0
3D-100,-1235.319735,0.0
3D-101,-1235.300288,-0.0
3D-102,-1235.359951,-0.0
3D-103,-1235.285562,0.0
3D-104,-1235.568674,0.10327
3D-105,-1235.266428,0.0
3D-106,-1235.276688,-2e-05
3D-107,-1235.24094,0.00016
3D-108,-1235.223121,0.0
3D-109,-1235.274484,-2e-05
3D-110,-1235.204781,3e-05
3D-111,-1235.858581,0.0
3D-112,-1235.229173,-0.0
3D-113,-1235.166925,0.0
3D-114,-1235.28442,-0.00013
3D-115,-1235.12707,0.0
3D-116,-1235.125331,0.0
3D-117,-1235.091358,-0.0
3D-118,-1235.111036,0.0
3D-119,-1235.092069,0.0
3D-120,-1235.064309,-0.0
3D-121,-1235.041085,-0.0
3D-122,-1235.272283,0.11719
3D-123,-1235.0907,0.00021
3D-124,-1235.084328,5e-05
3D-125,-1234.948759,0.0
3D-126,-1234.932207,-0.0
3D-127,-1235.005329,0.0
3D-128,-1234.983641,-0.0002
3D-129,-1234.971906,0.0
3D-130,-1234.907849,-0.0
3D-131,-1234.887002,-0.0
3D-132,-1234.766976,0.8
3D-133,-1234.976176,-0.00024
3D-134,-1235.256839,-2e-05
3D-135,-1234.815718,-0.0003
3D-136,-1234.872031,0.0
3D-137,-1234.650095,4e-05
3D-138,-1234.773545,-0.0
3D-139,-1234.888412,-0.0
3D-140,-1234.76249,-2e-05
3D-141,-1234.942283,1e-05
3D-142,-1234.585337,0.3967
3D-143,-1234.644483,0.02453
3D-144,-1234.574827,0.26968
3D-145,-1234.606887,-0.0
3D-146,-1234.524271,0.34197
3D-147,-1234.507465,0.0
3D-148,-1234.469243,0.0018
3D-149,-1234.472289,0.0
3D-150,-1234.9063,0.39978
3D-151,-1234.372853,0.0
3D-152,-1234.462842,-0.0
3D-153,-1234.337341,0.0
3D-154,-1234.31969,-0.0
3D-155,-1234.258544,0.0
3D-156,-1234.239072,0.0
3D-157,-1234.879558,0.18444
3D-158,-1234.212329,-0.0
3D-159,-1234.222391,0.0
3D-160,-1234.167058,0.0
3D-161,-1234.160351,-0.0
3D-162,-1234.072341,-0.0
3D-163,-1234.081316,0.0
3D-164,-1234.074303,0.00188
3D-165,-1234.050183,0.08083
3D-166,-1234.024751,0.0
3D-167,-1234.07335,-0.0
3D-168,-1234.010788,3e-05
3D-169,-1234.145441,-0.0
3D-170,-1234.191485,0.79957
3D-171,-1234.003851,0.0
3D-172,-1234.058513,0.0
3D-173,-1233.928221,0.0
3D-174,-1234.256248,0.11162
3D-175,-1233.951937,0.0
3D-176,-1233.910574,-0.0
3D-177,-1234.023202,0.0
3D-178,-1233.593959,0.40032
3D-179,-1234.017804,0.0
3D-180,-1233.779706,-0.0
3D-181,-1233.778457,0.0
3D-182,-1233.996927,0.0
3D-183,-1233.718618,0.09106
3D-184,-1233.779452,0.0
3D-185,-1233.951162,0.39383
3D-186,-1233.690903,0.0
3D-187,-1233.785659,0.0
3D-188,-1233.636332,0.0
3D-189,-1233.58815,0.00213
3D-190,-1233.583407,0.0
3D-191,-1233.934465,0.39787
3D-192,-1233.601458,0.33619
3D-193,-1233.524239,0.0
3D-194,-1233.623434,0.39938
3D-195,-1233.436915,-0.0
3D-196,-1233.429361,0.0
3D-197,-1233.302417,3e-05
3D-198,-1233.279496,-0.0
3D-199,-1233.228101,-0.0
3D-200,-1233.054582,1.86991
3D-201,-1233.194858,0.0
3D-202,-1233.096539,0.30454
3D-203,-1233.159917,0.23717
3D-204,-1232.744425,1.13779
3D-205,-1233.107273,-0.0
3D-206,-1233.218842,0.39954
3D-207,-1233.055239,0.0
3D-208,-1233.107586,0.0
3D-209,-1233.032854,-0.00102
3D-210,-1233.008432,0.0004
3D-211,-1233.0335,0.0
3D-212,-1233.12482,0.26487
3D-213,-1232.936107,0.0
3D-214,-1232.973096,0.36277
3D-215,-1232.918879,0.0
3D-216,-1232.746249,3e-05
3D-217,-1232.789913,0.0
3D-218,-1232.83421,0.18053
3D-219,-1232.75776,0.0
3D-220,-1232.879168,0.79994
3D-221,-1232.766147,0.0
3D-222,-1232.726326,0.0
3D-223,-1232.710228,0.0
3D-224,-1232.604384,0.0
3D-225,-1232.65724,-0.0
3D-226,-1232.701581,0.8
3D-227,-1232.599436,-0.0
3D-228,-1232.549666,-0.0
3D-229,-1232.449269,0.00149
3D-230,-1232.538873,0.0002
3D-231,-1232.242173,0.07828
3D-232,-1232.278032,-0.0
3D-233,-1232.217356,0.10293
3D-234,-1232.249275,0.0
3D-235,-1232.19633,-0.0
3D-236,-1232.18191,0.2201
3D-237,-1232.197349,0.40138
3D-238,-1232.204172,0.79914
3D-239,-1232.202186,0.39648
3D-240,-1232.072851,0.0
3D-241,-1231.98884,0.91455
3D-242,-1231.869497,-0.00033
3D-243,-1231.921304,-0.0
3D-244,-1231.80643,-0.0
3D-245,-1231.816345,0.0
3D-246,-1231.800124,0.0
3D-247,-1231.552512,0.39994
3D-248,-1231.74013,0.0
3D-249,-1231.739742,0.0
3D-250,-1231.703824,0.0
3D-251,-1231.712523,-0.0
3D-252,-1232.39397,0.39998
3D-253,-1231.124729,0.89941
3D-254,-1231.521614,-0.0
3D-255,-1231.537232,0.0
3D-256,-1231.479424,2.0
3D-257,-1231.200589,-0.0
3D-258,-1231.157191,-0.0
3D-259,-1231.17378,0.0
3D-260,-1230.980418,0.81408
3D-261,-1231.071936,-0.08979
3D-262,-1231.211743,-0.0
3D-263,-1230.716343,-4e-05
3D-264,-1231.175815,0.03382
3D-265,-1230.34219,0.25531
3D-266,-1230.402269,0.0
3D-267,-1230.266319,0.0
3D-268,-1229.810228,0.39632
3D-269,-1229.959396,-0.0
3D-270,-1229.513685,1.99868
3D-271,-1229.339429,0.0
3D-272,-1229.296494,0.19704
3D-273,-1226.353056,-0.0
